Extracted Name,Filename,Extracted Assets Cleaned
Lindsay Mathyssen,member_104.html,iShares Core Equity ETF Portfolio
Louis Plamondon,member_197.html,Aliment Couche-Tard Apple Inc. Canadian National Railway Dollarama Inc. Manulife Financial Corp Mastercard Inc. Power Corp of Canada Royal Bank of Canada Telus Corporation Vanguard S&P 500 IDX ETF
Luc Desilets,member_12.html,Bombardier Inc. Units of ISHARE NASDQ 100 IDX ETF
Marcus Powlowski,member_302.html,Bank of Nova Scotia (joint with spouse) - BCE Inc. (joint with spouse) - Brookfield Asset Management Ltd. Class A Limited Voting Shares - Brookfield Corporation Voting Shares Class A - Brookfield Infrastructure Partners L.P. - Cameco Corporation - Canadian National Railway Company - Canadian Tire Corporation Ltd. Class A Non-Voting Shares - Corby Spirit and Wine Ltd. Class A - Element Fleet Management Corporation - Enbridge Inc. - Fiera Capital Coporation Class A Subordinate Voting Shares - Nutrien Ltd. - Onex Corporation Subordinate Voting Shares - Open Text Corporation - Power Corporation of Canada Subordinate Voting Shares - Restaurant Brands international Inc. - Royal Bank of Canada - Suncor Energy Inc. - WSP Global Inc. Units: - Chartwell Retirement Residences Trust - iShares 1-5 Year Laddered Corporate Bond Index ETF - iShares Canadian Real Return Bond Index ETF
Michael Chong,member_332.html,Ovintiv Inc. Personal loan receivable from an individual
Michael Coteau,member_72.html,Bank of Nova Scotia Stocks of Canadian Imperial Bank of Commerce (CIBC) Stocks of Royal Bank of Canada Stocks of Toronto-Dominion Bank Units of TD Global Healthcare Leaders Index ETF Units of iShares S&P/TSX 60 Index ETF
Michael Morrice,member_35.html,"iShares MSCI USA ESG Select ETF - iShares ESG Aware MSCI EAFE ETF - iShares ESG Aware MSCI EM ETF Joint ownership with two people of a duplex containing a basement rental unit located in Kitchener, Ontario. I wish to disclose that one of the units in this duplex is my principal residence."
Mona Fortier,member_169.html,Alimentation Couche Tard Shares of Berkshire Hathaway Inc. Canadian Pacific Railway Company Senior Unsecured Notes Shares of Dollarama Inc. Shares of Enbridge Inc. Units of iShares 0-5 TIPS Bond Index ETF Shares of Metro Inc. Units of Pimco Monthly Income Fund Shares of the Royal Bank of Canada Shares of the Toronto Dominion Bank
Paramvir Bains,member_282.html,Berkshire Hathaway Inc. Class B BMO MSCI Europe High Quality ETF Manulife Smart Dividend ETF SPDR Gold Shares VanEck Semiconductor ETF Vanguard Total Stock Market ETF
Pat Kelly,member_317.html,Bank of Nova Scotia CSX Corporation Enbridge Inc. Fortis Inc. Intact Financial Corp Morgan Stanley Tourmaline Oil Corp Boardwalk Real Estate Investment Trust Units of BMO US Dividend ETF Units of BMO Equal Weight Banks Index ETF
Pierre Paul-Hus,member_240.html,PIMCO MULTI_SECTOR INCOMEFUND CL-A - ALTAGAS LTD COM - BANQUE ROYALE DU CANADA - TFI INTERNATIONAL INC Personal loan receivable from a person Accounts receivable from MAPA Communication Inc.
René Villemure,member_89.html,Bombardier Inc. Class B Subordinate Voting Shares Stocks of Next Dynamics Inc. Stocks of JanOne Inc.
Ron Liepert,member_272.html,Alimentation Couche Tard Inc. Canadian Natural Resources Ltd. Canadian Pacific Kansas City Ltd. Capital Power Corp. Royal Bank of Canada Manulife Financial Corp. iShares S&P/TSX Capped Energy Index ETF
Scott Reid,member_318.html,"BCE Inc. - Berkshire Hathaway Inc. Class A shares - Brookfield Corporation Class A Limited Voting shares - Canadian Imperial Bank of Commerce - Canadian Imperial Bank of Commerce (traded on NYSE) - Canadian National Railway Company - CGI Inc. Class A Subordinate Voting Shares - Constellation Software Inc. - Dollarama Inc. - Enbridge Inc. - George Weston Ltd. - Gildan Activewear Inc. - Great-West Lifeco Inc. - Healthpeak Properties Inc. - Intact Financial Corporation - Loblaw Companies Ltd. - Manulife Financial Corporation - Metro Inc. - Nutrien Ltd. - Premium Brands Holdings Corporation - Royal Bank of Canada - Stella-Jones Inc. - TC Energy Corporation - Toromont Industries Ltd. - Toronto-Dominion Bank Units: - BMO Aggregate Bond Index ETF - BMO Low Volatility Canadian Equity ETF - BMO Low Volatility US Equity ETF - Brookfield Infrastructure Partners Limited Partnership - InterRent Real Estate Investment Trust - iShares Core Canadian Universe Bond Index ETF - iShares Core MSCI EAFE IMI Index ETF - iShares Core S&P/TSX Capped Composite Index ETF - iShares MSCI Min Vol EAFE Index ETF - The Keg Royalties Income Fund Trust - Vanguard Canadian Short-Term Corporate Bond Index ETF - Vanguard FTSE Developed All Cap ex US Index ETF - Vanguard FTSE Global All Cap ex Canada Index ETF - Vanguard S&P 500 Index ETF - Vanguard US Total Market Index ETF Sole ownership of a rental property located in Kanata, Ontario"
Sophie Chatel,member_306.html,"Royce Micro-Cap Trust, Inc. Units of the following exchange-traded funds: - Vanguard S&P 500 Index - SPDR S&P 500 Trust"
Stephen Ellis,member_198.html,Assets Publicly traded securities: Shares of Apple Inc. Shares of Alphabet Inc. Class C Shares of Berkshire Hathaway Inc. Class B Shares of Microsoft Corp Shares of Brookfield Corp Shares of Royal Bank of Canada
Valerie Bradford,member_171.html,Apple Inc. - Bank of Montreal - Boeing Company - Canadian National Railway Company - Canadian Pacific Kansas City Limited - Dollorama Inc. - Home Depot Inc. - Phillips 66 - Royal Bank of Canada - Thomson Reuters Corporation - UnitedHealth Group Inc. - Walt Disney Company Units of exchanged-traded funds (ETF): - Invesco 1-5 Year Laddered Investment Grade Corporate Bond Index ETF - iShares Canadian Hybrid Corporate Bond Index ETF - Invesco Large Cap Growth ETF - Invesco S&P 500 Pure Growth ETF - Invesco S&P 500 Top 50 ETF
Yves Perron,member_47.html,ishares ESG Growth ETF
