Company or Security Name
Lightspeed Communications Inc.
iShares Core Equity ETF Portfolio
Tourmaline Oil Corp
Bombardier Inc.
Sprott Physical Gold and Silver Trust ETF
iShares S&P/TSX 60 Index ETF
SPDR S&P 500 ETF Trust
Barrick Gold Corp
Baytex Energy Corp
Cineplex Inc.
Crescent Point Energy Corp
Hudbay Minerals Inc.
Patriot Battery Metals
Solaris Resources Inc.
Tamarack Valley Energy Ltd.
Canadian National Railway
Telus Corp
Thomson Reuters Corp
Cenovus Energy Inc.
Royal Bank of Canada
Enbridge Inc.
Constellation Software Inc.
TC Energy Corp
Vanguard S&P 500 Index ETF
BMO S&P 500 Index ETF
Goldman Sachs ActiveBeta World Low Vol Plus Equity ETF
Vanguard Total Stock Market ETF
Bank of Nova Scotia
Suncor Energy Inc.
Alimentation Couche-Tard
Berkshire Hathaway Inc.
Canadian Pacific Railway Company
Dollarama Inc.
Apple Inc.
Bank of Montreal
Boeing Company
Phillips 66
Home Depot Inc.
UnitedHealth Group Inc.
Walt Disney Company
Tesla Inc.
Cleanspark Inc.
Automatic Data Processing Inc.
Loblaws Companies Ltd.
TFI International Inc.
Amgen Inc.
Apollo Global Management Inc.
BCE Inc.
Blackrock Inc.
Broadcom Inc.
Caterpillar Inc.
Fortis Inc.
JPMorgan Chase & Co.
Johnson & Johnson
Microsoft Corp.
Amazon.com Inc.
Meta Platforms Inc.
Shopify Inc.
Magna International Inc.
Harvest Healthcare Leaders ETF
Cymbria Corp.
Canadian Natural Resources Ltd.
Manulife Financial Corp.
SPDR Gold Shares
VanEck Semiconductor ETF
Brookfield Infrastructure Partners L.P.
Cameco Corporation
Canadian Tire Corporation Ltd.
Nutrien Ltd.
Onex Corporation
Restaurant Brands International Inc.
Great-West Lifeco
Intact Financial Corp.
Gildan Activewear Inc.
Stella-Jones Inc.
Allied Property Real Estate Investment Trust
Premium Brands Holdings Corp.
Chartwell Retirement Residences
Brookfield Corporation
Boralex Inc.
Crombie Real Estate Investment Trust
Pembina Pipeline Corp.
Ovintiv Inc.
Spirit Blockchain Capital Inc.
Honeywell International
Procter & Gamble Co.
Costco Wholesale Corp.
